Date,Time,CAGE_1,CAGE_2,CAGE_3,CAGE_4,CAGE_5,CAGE_6,CAGE_7,CAGE_8,CAGE_9,CAGE_10,CAGE_11,CAGE_12,Room
04/29/2022,13:39:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:40:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:41:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:42:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:43:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:44:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:45:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:46:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:47:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:48:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:49:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:50:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:51:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:52:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:53:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:54:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:55:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:56:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:57:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:58:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:59:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:00:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:01:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:02:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:03:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:04:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:05:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:06:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:07:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:08:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:09:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:10:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:11:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:12:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:13:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:14:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:15:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:16:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:17:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:18:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:19:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:20:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:21:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:22:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
